movieId,userId,rating,timestamp,label,title,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
230,1436,3.0,847472108,0,Dolores Claiborne,1995,Drama,Thriller,"",1614,3.61,0.87,81,924,318,17,527,100,1986,17.34,3.33,0.83,Drama,Comedy,Romance,Crime,Thriller
235,18992,4.0,1238002492,1,Ed Wood,1994,Comedy,Drama,"",3605,3.64,0.96,923,720,508,778,919,81,1989,12.89,3.91,0.85,Drama,Thriller,Comedy,Adventure,Action
237,28135,3.0,850846061,0,Forget Paris,1995,Comedy,Romance,"",1411,3.20,0.90,350,592,357,252,293,39,1993,4.26,3.92,0.81,Drama,Comedy,Thriller,Romance,Action
25,1436,3.0,840203702,0,Leaving Las Vegas,1995,Drama,Romance,"",4684,3.69,1.04,555,265,50,32,589,34,1993,1.69,3.18,0.97,Thriller,Crime,Drama,Sci-Fi,Mystery
253,21259,5.0,1083866188,1,Interview with the Vampire: The Vampire Chronicles,1994,Drama,Horror,"",6010,3.50,0.94,349,377,344,50,595,27,1989,12.42,4.52,0.74,Comedy,Action,Thriller,Adventure,Drama
273,1436,3.0,847472172,0,Mary Shelley's Frankenstein (Frankenstein),1994,Drama,Horror,Sci-Fi,1633,3.11,0.97,81,924,318,17,527,100,1986,17.35,3.35,0.81,Drama,Comedy,Romance,Crime,Thriller
292,23459,2.0,1069867565,0,Outbreak,1995,Action,Drama,Sci-Fi,5649,3.40,0.86,453,524,590,948,367,15,1991,9.92,2.97,1.17,Drama,Crime,Comedy,Romance,Western
296,6731,4.0,1145526162,1,Pulp Fiction,1994,Comedy,Crime,Drama,14616,4.17,0.98,165,316,780,32,589,20,1993,1.69,4.65,0.46,Action,Thriller,Adventure,Sci-Fi,Comedy
315,11888,3.0,845674883,0,"Specialist, The",1994,Action,Drama,Thriller,2376,2.90,0.99,350,266,160,39,539,63,1993,1.45,3.22,0.96,Comedy,Drama,Thriller,Action,Romance
317,27990,1.5,1197773542,0,"Santa Clause, The",1994,Comedy,Drama,Fantasy,3486,3.14,1.00,16,104,551,594,912,61,1988,14.67,3.40,0.93,Drama,Adventure,Comedy,Crime,Thriller
318,29210,4.0,1277725278,1,"Shawshank Redemption, The",1994,Crime,Drama,"",13826,4.45,0.72,909,307,163,"","",6,1988,14.16,2.75,1.92,Romance,Drama,Action,Western,Comedy
318,675,4.0,866568535,1,"Shawshank Redemption, The",1994,Crime,Drama,"",13826,4.45,0.72,47,296,81,92,858,36,1994,4.97,3.17,0.81,Drama,Thriller,Crime,Mystery,Romance
32,29549,4.5,1159010560,1,Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery,Sci-Fi,Thriller,9694,3.89,0.86,223,"","","","",4,1995,0.82,2.88,1.55,Comedy,"","","",""
329,24269,3.0,856817261,0,Star Trek: Generations,1994,Adventure,Drama,Sci-Fi,5727,3.33,0.97,594,750,265,509,457,65,1992,10.58,3.12,1.07,Drama,Comedy,Romance,Thriller,Crime
339,18333,4.0,945581807,1,While You Were Sleeping,1995,Comedy,Romance,"",5030,3.52,0.92,587,367,586,500,356,12,1993,2.06,3.33,1.44,Comedy,Drama,Romance,Fantasy,War
342,1436,3.0,840204071,0,Muriel's Wedding,1994,Comedy,"","",2568,3.52,1.02,348,608,246,497,555,42,1993,1.58,3.29,0.97,Thriller,Crime,Comedy,Drama,Sci-Fi
344,19338,4.0,829733939,1,Ace Ventura: Pet Detective,1994,Comedy,"","",8273,2.98,1.11,256,195,337,339,186,14,1994,1.57,4.07,0.62,Comedy,Drama,Romance,Crime,Action
349,25555,3.0,841924141,0,Clear and Present Danger,1994,Action,Crime,Drama,6309,3.64,0.81,150,590,"","","",4,1992,2.94,4.00,1.15,Adventure,Drama,Western,IMAX,""
35,27248,4.0,962878371,1,Carrington,1995,Drama,Romance,"",313,3.45,1.04,534,509,302,25,293,100,1987,15.50,3.52,0.78,Drama,Comedy,Romance,Thriller,Crime
352,21331,4.0,836938576,1,Crooklyn,1994,Comedy,Drama,"",296,3.27,0.98,446,278,271,35,360,100,1993,6.44,4.24,0.90,Drama,Comedy,Romance,Action,Adventure
353,13865,3.0,846462827,0,"Crow, The",1994,Action,Crime,Fantasy,3640,3.50,1.00,36,25,158,442,2,45,1993,1.48,3.56,0.66,Thriller,Drama,Crime,Action,Adventure
356,3606,4.5,1129822380,1,Forrest Gump,1994,Comedy,Drama,Romance,14426,4.03,0.95,593,296,145,596,"",6,1985,22.19,3.50,0.89,Crime,Thriller,Comedy,Drama,Animation
36,3959,5.0,857175644,1,Dead Man Walking,1995,Crime,Drama,"",4547,3.94,0.90,494,32,648,736,"",15,1995,0.52,3.13,0.83,Thriller,Action,Adventure,Mystery,Romance
361,4937,3.0,972790913,0,It Could Happen to You,1994,Comedy,Drama,Romance,1122,3.33,0.84,318,48,364,595,333,88,1989,15.67,3.44,1.23,Drama,Romance,Comedy,Children,Thriller
371,23459,3.5,1115963150,1,"Paper, The",1994,Comedy,Drama,"",930,3.24,0.75,802,800,832,299,507,72,1988,15.90,3.40,1.20,Drama,Romance,Comedy,Thriller,Crime
39,10436,4.5,1254724710,1,Clueless,1995,Comedy,Romance,"",5741,3.42,0.98,34,500,367,736,595,20,1988,15.28,4.30,0.44,Adventure,Comedy,Children,Fantasy,Musical
410,21331,3.0,836936815,0,Addams Family Values,1993,Children,Comedy,Fantasy,3972,2.99,0.93,339,185,253,10,593,19,1993,1.93,4.32,0.75,Action,Thriller,Crime,Adventure,Drama
412,24269,4.0,856818151,1,"Age of Innocence, The",1993,Drama,"","",998,3.57,0.93,531,162,314,953,902,100,1987,16.82,3.43,0.79,Drama,Romance,Comedy,War,Fantasy
428,675,4.0,866568816,1,"Bronx Tale, A",1993,Drama,"","",1080,3.83,0.75,337,333,266,508,509,55,1993,4.75,3.35,0.80,Drama,Thriller,Crime,Romance,Mystery
434,5925,4.5,1111476716,1,Cliffhanger,1993,Action,Adventure,Thriller,5380,3.06,0.92,367,555,541,508,733,23,1991,11.73,3.52,1.25,Action,Drama,Thriller,Comedy,Crime
44,14204,2.0,837614489,0,Mortal Kombat,1995,Action,Adventure,Fantasy,2293,2.64,1.10,509,141,17,337,357,39,1993,1.45,3.64,1.16,Drama,Thriller,Comedy,Crime,Romance
440,24269,4.0,856818224,1,Dave,1993,Comedy,Romance,"",4180,3.60,0.81,909,412,531,162,314,100,1986,17.64,3.41,0.78,Drama,Romance,Comedy,Fantasy,War
455,11563,0.5,1217545472,0,Free Willy,1993,Adventure,Children,Drama,1800,2.62,1.03,150,292,231,597,364,38,1993,4.04,3.41,1.30,Drama,Thriller,Adventure,Comedy,Action
457,3210,4.0,1119397436,1,"Fugitive, The",1993,Thriller,"","",10736,3.97,0.78,589,110,546,688,173,40,1986,18.20,3.49,0.92,Adventure,Action,Comedy,Children,Romance
47,11563,4.5,1217543559,1,Seven (a.k.a. Se7en),1995,Mystery,Thriller,"",9335,4.06,0.87,32,527,858,73,782,8,1992,8.14,3.56,1.08,Drama,Thriller,War,Horror,Romance
474,14899,5.0,864503595,1,In the Line of Fire,1993,Action,Thriller,"",4106,3.72,0.75,230,300,594,364,595,34,1991,10.88,3.91,0.87,Drama,Thriller,Crime,Action,Adventure
480,2136,4.5,1073615196,1,Jurassic Park,1993,Action,Adventure,Sci-Fi,13033,3.67,0.93,256,440,736,802,500,35,1992,9.46,4.20,0.46,Comedy,Drama,Romance,Thriller,Action
509,14204,4.0,837614474,1,"Piano, The",1993,Drama,Romance,"",3720,3.71,1.05,141,17,337,357,597,38,1993,1.47,3.63,1.17,Drama,Thriller,Comedy,Crime,Action
524,25894,4.0,1159237706,1,Rudy,1993,Drama,"","",1697,3.54,0.95,22,"","","","",6,1993,2.04,2.50,1.00,Crime,Drama,Horror,Mystery,Thriller
524,4937,4.0,972792508,1,Rudy,1993,Drama,"","",1697,3.54,0.95,261,62,150,219,110,95,1989,15.14,3.49,1.22,Drama,Romance,Comedy,Children,Adventure
529,675,4.0,868127419,1,Searching for Bobby Fischer,1993,Drama,"","",2358,3.83,0.82,178,268,358,144,924,100,1992,7.85,3.54,0.82,Drama,Crime,Thriller,Comedy,Romance
535,23843,4.0,839631963,1,Short Cuts,1993,Drama,"","",1210,3.78,0.94,155,260,477,162,563,85,1992,7.02,3.76,1.08,Drama,Romance,Comedy,Thriller,Adventure
539,2162,4.0,836418504,1,Sleepless in Seattle,1993,Comedy,Drama,Romance,6177,3.50,0.97,500,350,204,261,377,46,1993,1.40,3.76,0.99,Drama,Adventure,Action,Thriller,Comedy
552,27990,3.5,1197774097,1,"Three Musketeers, The",1993,Action,Adventure,Comedy,2769,3.22,0.92,543,903,151,225,520,79,1989,13.57,3.27,0.92,Drama,Thriller,Comedy,Action,Adventure
58,26112,5.0,966712900,1,"Postman, The (Postino, Il)",1994,Comedy,Drama,Romance,2498,3.95,0.99,866,898,969,529,593,52,1986,17.73,3.42,0.87,Comedy,Romance,Drama,Adventure,Action
587,11722,3.0,1157340369,0,Ghost,1990,Comedy,Drama,Fantasy,6405,3.43,1.00,736,208,593,539,296,34,1993,4.61,3.75,0.70,Drama,Thriller,Action,Adventure,Comedy
587,2069,4.5,1224466356,1,Ghost,1990,Comedy,Drama,Fantasy,6405,3.43,1.00,527,592,480,372,"",5,1993,2.55,4.20,1.04,Drama,Action,Thriller,Comedy,Romance
587,21331,5.0,836937085,1,Ghost,1990,Comedy,Drama,Fantasy,6405,3.43,1.00,597,539,151,186,196,50,1993,1.46,4.38,0.78,Drama,Comedy,Action,Romance,Thriller
588,15269,1.0,841265200,0,Aladdin,1992,Adventure,Animation,Children,8980,3.67,0.92,480,356,161,457,316,25,1993,1.66,3.32,1.07,Thriller,Drama,Adventure,Crime,Action
589,26112,4.0,966713354,1,Terminator 2: Judgment Day,1991,Action,Sci-Fi,"",11483,3.94,0.90,50,111,597,356,58,62,1987,16.49,3.39,0.96,Comedy,Romance,Drama,Adventure,Thriller
589,28197,5.0,1037945460,1,Terminator 2: Judgment Day,1991,Action,Sci-Fi,"",11483,3.94,0.90,924,260,750,541,356,20,1990,9.53,3.80,0.95,Adventure,Drama,Sci-Fi,War,Action
594,1159,5.0,1018347550,1,Snow White and the Seven Dwarfs,1937,Animation,Children,Drama,3902,3.61,0.97,720,1,608,593,745,31,1980,18.57,4.52,0.85,Thriller,Mystery,Comedy,Action,Adventure
595,9009,3.0,1141742449,0,Beauty and the Beast,1991,Animation,Children,Fantasy,7539,3.65,0.98,527,318,648,593,45,12,1992,6.48,3.42,0.76,Drama,Comedy,Thriller,War,Crime
597,28158,5.0,840769413,1,Pretty Woman,1990,Comedy,Romance,"",7314,3.41,0.98,648,367,377,364,454,22,1993,1.99,3.82,0.85,Thriller,Action,Adventure,Drama,Comedy
6,27108,5.0,865275044,1,Heat,1995,Action,Crime,Thriller,5245,3.84,0.86,733,786,780,648,736,12,1995,0.51,3.42,1.38,Action,Thriller,Adventure,Romance,Mystery
60,23459,4.0,995477884,1,"Indian in the Cupboard, The",1995,Adventure,Children,Fantasy,1376,3.09,1.03,801,661,595,551,468,100,1982,19.46,3.96,1.21,Comedy,Drama,Romance,Thriller,Children
608,11722,4.0,896826487,1,Fargo,1996,Comedy,Crime,Drama,9505,4.09,0.93,17,733,628,196,293,44,1992,6.64,3.70,0.72,Drama,Thriller,Action,Adventure,Crime
610,14204,4.0,837614739,1,Heavy Metal,1981,Action,Adventure,Animation,1723,3.36,1.05,497,246,515,272,474,56,1993,1.34,3.59,1.11,Drama,Romance,Comedy,Thriller,Crime
62,27108,1.0,865275011,0,Mr. Holland's Opus,1995,Drama,"","",4221,3.70,1.00,780,648,736,"","",7,1995,0.49,3.57,1.13,Action,Adventure,Thriller,Romance,Mystery
637,29210,0.5,1277724542,0,Sgt. Bilko,1996,Comedy,"","",1246,2.82,1.01,163,"","","","",3,1994,0.58,2.67,2.25,Action,Romance,Western,"",""
638,20219,2.0,867630557,0,Jack and Sarah,1995,Romance,"","",111,3.35,0.96,996,782,725,63,694,100,1995,2.41,2.57,0.83,Comedy,Crime,Drama,Action,Thriller
648,15555,4.0,1157948244,1,Mission: Impossible,1996,Action,Adventure,Mystery,8117,3.37,0.90,180,364,175,480,765,15,1994,1.29,4.10,0.28,Drama,Comedy,Thriller,Romance,Crime
673,27108,4.0,865275184,1,Space Jam,1996,Adventure,Animation,Children,2192,2.67,1.11,65,9,805,135,802,36,1994,4.98,3.39,1.40,Action,Thriller,Adventure,Drama,Comedy
736,18333,3.0,945583706,0,Twister,1996,Action,Adventure,Romance,6990,3.18,1.02,786,329,380,349,733,36,1994,1.61,3.14,1.29,Comedy,Drama,Action,Thriller,Romance
736,5325,3.0,885753466,0,Twister,1996,Action,Adventure,Romance,6990,3.18,1.02,"","","","","",3,1995,0.58,3.00,0.00,"","","","",""
745,28675,3.5,1111585198,1,Wallace & Gromit: A Close Shave,1995,Animation,Children,Comedy,2625,4.16,0.91,293,296,457,1,474,21,1992,5.06,3.86,0.78,Thriller,Action,Crime,Comedy,Drama
761,20219,1.0,867629875,0,"Phantom, The",1996,Action,Adventure,"",789,2.78,1.00,104,653,112,260,733,53,1994,4.14,2.98,0.84,Action,Adventure,Thriller,Mystery,Sci-Fi
778,13442,5.0,1424689430,1,Trainspotting,1996,Comedy,Crime,Drama,5195,4.00,0.90,593,"","","","",5,1989,7.70,2.50,0.71,Crime,Horror,Thriller,"",""
780,21331,5.0,836938725,1,Independence Day (a.k.a. ID4),1996,Action,Adventure,Sci-Fi,10271,3.37,1.06,304,27,505,783,294,100,1993,6.44,4.20,0.92,Drama,Comedy,Romance,Children,Thriller
780,25969,4.0,1309039655,1,Independence Day (a.k.a. ID4),1996,Action,Adventure,Sci-Fi,10271,3.37,1.06,"","","","","",2,1994,1.41,2.75,0.35,"","","","",""
780,27990,2.5,1197772794,0,Independence Day (a.k.a. ID4),1996,Action,Adventure,Sci-Fi,10271,3.37,1.06,589,110,260,318,923,32,1987,15.11,3.52,1.06,Drama,Crime,Comedy,Adventure,Thriller
780,4937,4.0,972838586,1,Independence Day (a.k.a. ID4),1996,Action,Adventure,Sci-Fi,10271,3.37,1.06,316,457,260,27,491,100,1989,14.81,3.60,1.19,Drama,Romance,Comedy,Children,Adventure
801,23459,4.0,995477884,1,Harriet the Spy,1996,Children,Comedy,"",390,2.93,1.06,661,595,551,468,351,100,1982,19.44,3.93,1.24,Comedy,Drama,Romance,Thriller,Adventure
813,24269,3.0,856815975,0,Larger Than Life,1996,Comedy,"","",101,2.76,1.06,96,650,82,728,26,44,1995,2.85,2.95,1.08,Drama,Comedy,Thriller,Crime,Romance
858,27990,5.0,1197541765,1,"Godfather, The",1972,Crime,Drama,"",8996,4.35,0.86,592,527,590,296,29,10,1993,2.32,3.45,0.83,Drama,Adventure,Crime,Thriller,Fantasy
885,4937,0.5,1067052860,0,Bogus,1996,Children,Drama,Fantasy,143,2.47,1.22,258,1,73,953,783,33,1988,17.89,3.48,1.03,Drama,Comedy,Thriller,Children,Romance
891,25032,1.0,867538055,0,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers),1995,Horror,Thriller,"",434,2.53,1.26,742,661,783,5,260,14,1994,5.03,4.07,0.83,Adventure,Thriller,Action,Sci-Fi,Animation
904,27264,4.0,1121199862,1,Rear Window,1954,Mystery,Thriller,"",3845,4.25,0.77,111,555,296,562,968,14,1983,16.81,3.75,0.80,Drama,Comedy,Crime,Thriller,Mystery
912,9009,2.0,1141742650,0,Casablanca,1942,Drama,Romance,"",5256,4.27,0.85,48,527,318,648,593,14,1992,6.02,3.43,0.73,Drama,Comedy,Thriller,Romance,War
919,18634,4.0,1140925868,1,"Wizard of Oz, The",1939,Adventure,Children,Fantasy,5138,3.98,0.94,296,923,527,904,912,12,1972,23.67,3.79,0.75,Drama,Romance,War,Crime,Mystery
924,22254,5.0,1296429068,1,2001: A Space Odyssey,1968,Adventure,Drama,Sci-Fi,5530,3.95,1.05,272,849,899,246,345,5,1986,19.03,4.40,0.42,Comedy,Drama,Documentary,Musical,Romance
930,4032,4.0,1360803352,1,Notorious,1946,Film-Noir,Romance,Thriller,1120,4.19,0.74,923,858,111,541,750,26,1979,20.73,4.08,0.74,Drama,Comedy,Romance,Children,Thriller
953,17401,5.0,947234000,1,It's a Wonderful Life,1946,Drama,Fantasy,Romance,3081,4.04,0.99,919,968,260,858,592,58,1990,11.41,3.40,0.94,Comedy,Thriller,Action,Crime,Drama
965,23843,4.0,864046541,1,"39 Steps, The",1935,Drama,Mystery,Thriller,857,3.97,0.81,915,101,898,421,448,100,1987,17.45,3.68,0.80,Drama,Romance,Comedy,Thriller,Adventure
968,1159,5.0,1018345910,1,Night of the Living Dead,1968,Horror,Sci-Fi,Thriller,1824,3.64,1.06,913,223,154,50,965,8,1974,25.14,4.12,1.36,Drama,Thriller,Mystery,Crime,Comedy
1,28039,5.0,1274493075,1,Toy Story,1995,Adventure,Animation,Children,10759,3.91,0.89,588,39,745,357,362,9,1991,10.23,4.11,1.05,Comedy,Romance,Adventure,Animation,Children
10,12542,3.0,838287785,0,GoldenEye,1995,Action,Adventure,Thriller,6330,3.42,0.87,185,161,457,593,318,18,1993,1.86,3.78,0.81,Thriller,Drama,Crime,Action,Adventure
103,28183,3.0,918787215,0,Unforgettable,1996,Mystery,Sci-Fi,Thriller,268,3.22,1.02,95,100,992,10,79,40,1983,19.29,4.65,0.58,Thriller,Drama,Crime,Action,Mystery
104,11313,3.0,1062086767,0,Happy Gilmore,1996,Comedy,"","",3954,3.40,1.06,62,588,508,529,628,31,1988,16.86,3.34,0.70,Drama,Thriller,Crime,Adventure,Action
104,4975,4.0,850828684,1,Happy Gilmore,1996,Comedy,"","",3954,3.40,1.06,43,1,52,788,745,66,1994,1.45,4.11,0.84,Comedy,Drama,Thriller,Crime,Action
11,24528,4.0,975222223,1,"American President, The",1995,Comedy,Drama,Romance,3846,3.69,0.88,47,475,527,46,380,40,1993,3.75,3.70,1.01,Drama,Thriller,Action,Crime,Romance
111,6366,5.0,981692302,1,Taxi Driver,1976,Crime,Drama,Thriller,5305,4.12,0.85,529,371,380,852,141,100,1990,11.33,3.74,1.08,Drama,Comedy,Thriller,Romance,Action
112,21711,1.0,1111472495,0,Rumble in the Bronx (Hont faan kui),1995,Action,Adventure,Comedy,2577,3.41,0.95,908,"","","","",3,1983,21.08,1.67,2.02,Action,Adventure,Mystery,Romance,Thriller
112,7994,2.0,863055305,0,Rumble in the Bronx (Hont faan kui),1995,Action,Adventure,Comedy,2577,3.41,0.95,736,"","","","",4,1996,0.00,3.25,0.50,Action,Adventure,Romance,Thriller,""
140,11205,3.0,850756374,0,Up Close and Personal,1996,Drama,Romance,"",1103,3.29,1.03,58,36,25,17,"",7,1995,0.58,3.71,0.76,Drama,Romance,Crime,Comedy,""
145,17910,5.0,1204308225,1,Bad Boys,1995,Action,Comedy,Crime,2561,3.25,0.98,588,648,592,376,736,17,1993,4.64,4.12,0.63,Action,Adventure,Thriller,Comedy,Sci-Fi
145,21711,2.5,1111473588,0,Bad Boys,1995,Action,Comedy,Crime,2561,3.25,0.98,345,32,543,342,172,20,1992,8.02,1.95,1.39,Thriller,Comedy,Action,Mystery,Romance
153,20256,3.0,842296818,0,Batman Forever,1995,Action,Adventure,Comedy,7100,2.89,0.95,590,"","","","",5,1992,2.70,2.80,0.84,Adventure,Drama,Western,"",""
16,19289,4.0,1189486391,1,Casino,1995,Crime,Drama,"",3846,3.81,0.85,555,104,223,586,161,61,1993,3.99,2.98,0.68,Comedy,Drama,Thriller,Crime,War
161,12542,4.0,838287757,1,Crimson Tide,1995,Drama,Thriller,War,5113,3.74,0.80,457,593,318,595,165,16,1993,1.86,3.75,0.86,Thriller,Adventure,Drama,Crime,Action
161,4975,5.0,844093499,1,Crimson Tide,1995,Drama,Thriller,War,5113,3.74,0.80,480,318,356,434,457,14,1993,1.34,4.29,0.47,Drama,Thriller,Adventure,Comedy,Crime
186,1372,4.0,958145057,1,Nine Months,1995,Comedy,Romance,"",2425,2.89,0.99,5,95,798,236,383,99,1992,5.85,4.12,0.77,Thriller,Action,Drama,Crime,Comedy
186,9630,1.0,835681024,0,Nine Months,1995,Comedy,Romance,"",2425,2.89,0.99,293,440,480,11,356,36,1993,1.46,3.75,1.18,Thriller,Action,Drama,Comedy,Crime
19,17910,4.5,1204309308,1,Ace Ventura: When Nature Calls,1995,Comedy,"","",4501,2.62,1.16,2,919,288,586,141,62,1992,7.49,4.19,0.52,Action,Thriller,Adventure,Comedy,Drama
198,7362,5.0,831418426,1,Strange Days,1995,Action,Crime,Drama,1988,3.40,0.98,233,144,260,308,307,69,1993,3.14,3.74,0.98,Drama,Thriller,Action,Crime,Comedy
2,25532,3.0,1112452865,0,Jumanji,1995,Adventure,Children,Fantasy,4853,3.21,0.96,293,852,543,529,549,33,1989,14.68,3.74,0.72,Comedy,Drama,Romance,Adventure,Fantasy
21,4975,5.0,844093569,1,Get Shorty,1995,Comedy,Crime,Thriller,5164,3.58,0.93,587,367,377,500,589,28,1993,1.57,4.11,0.74,Drama,Thriller,Comedy,Action,Adventure
233,9308,3.0,833079010,0,Exotica,1994,Drama,"","",740,3.52,1.05,36,555,364,293,95,48,1994,1.33,3.23,1.12,Thriller,Crime,Drama,Action,Adventure
246,2756,5.0,1025397670,1,Hoop Dreams,1994,Documentary,"","",2288,4.06,0.95,595,954,903,908,88,11,1977,20.41,3.73,1.01,Romance,Drama,Thriller,Comedy,Mystery
246,4975,4.0,844268099,1,Hoop Dreams,1994,Documentary,"","",2288,4.06,0.95,162,586,585,551,333,57,1993,1.47,4.09,0.87,Comedy,Thriller,Drama,Action,Crime
253,27125,4.0,848340540,1,Interview with the Vampire: The Vampire Chronicles,1994,Drama,Horror,"",6010,3.50,0.94,454,589,288,161,110,27,1993,1.49,3.78,0.80,Thriller,Action,Crime,Drama,Comedy
257,27125,4.0,848340979,1,Just Cause,1995,Mystery,Thriller,"",814,3.42,0.88,303,596,280,163,608,95,1992,8.11,3.54,0.86,Thriller,Action,Drama,Comedy,Crime
26,21711,4.0,1111475049,1,Othello,1995,Drama,"","",581,3.63,0.94,741,39,345,32,543,28,1993,6.83,2.02,1.31,Thriller,Comedy,Romance,Sci-Fi,Action
260,17835,4.5,1117370989,1,Star Wars: Episode IV - A New Hope,1977,Action,Adventure,Sci-Fi,11958,4.19,0.91,316,527,356,720,"",9,1994,1.24,3.11,1.05,Adventure,Comedy,Drama,War,Animation
29,29055,4.0,849351564,1,"City of Lost Children, The (Cité des enfants perdus, La)",1995,Adventure,Drama,Fantasy,1859,3.92,0.97,661,708,610,6,62,18,1994,3.50,3.28,1.32,Adventure,Sci-Fi,Thriller,Animation,Action
300,7362,4.0,831417701,1,Quiz Show,1994,Drama,"","",4445,3.68,0.82,165,349,590,150,296,13,1993,1.32,3.62,0.87,Drama,Crime,Thriller,Adventure,Action
