movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
247,2088,4.0,854968035,1,1994,Crime,Drama,"",1650,3.85,0.90,448,535,334,529,527,53,1994,2.69,3.26,0.76,Drama,Thriller,Adventure,Comedy,Romance
253,20158,4.0,1155354386,1,1994,Drama,Horror,"",6010,3.50,0.94,454,434,539,587,10,51,1992,6.88,3.67,0.79,Thriller,Action,Drama,Adventure,Comedy
253,24504,3.0,833131848,0,1994,Drama,Horror,"",6010,3.50,0.94,1,300,161,339,10,23,1993,1.70,3.57,0.99,Drama,Adventure,Crime,Thriller,Comedy
260,21889,4.0,1161308101,1,1977,Action,Adventure,Sci-Fi,11958,4.19,0.91,593,527,50,318,180,10,1983,22.86,3.95,0.64,Drama,Crime,Mystery,Thriller,Adventure
266,16250,3.0,837515797,0,1994,Drama,Romance,War,3492,3.48,1.03,377,589,367,364,317,41,1993,1.46,3.24,0.97,Drama,Action,Adventure,Thriller,Comedy
269,675,5.0,868127082,1,1993,Drama,"","",128,3.41,0.92,78,912,904,555,446,95,1993,7.64,3.44,0.78,Drama,Thriller,Crime,Romance,Comedy
272,7252,4.0,842959089,1,1994,Comedy,Drama,"",1708,3.76,0.88,780,497,265,17,34,40,1993,1.55,3.23,0.95,Drama,Thriller,Action,Romance,Adventure
280,675,3.0,866568698,0,1995,Drama,Thriller,"",1087,3.67,0.85,147,110,50,111,593,44,1994,5.30,3.32,0.86,Drama,Thriller,Crime,Mystery,Romance
282,18333,5.0,945586494,1,1994,Drama,"","",2426,3.39,1.00,802,24,805,454,832,76,1994,1.57,3.30,1.07,Drama,Action,Thriller,Comedy,Romance
292,2904,3.0,832706296,0,1995,Action,Drama,Sci-Fi,5649,3.40,0.86,300,318,150,296,"",15,1993,1.36,3.20,0.94,Drama,Crime,Comedy,Thriller,Adventure
293,29210,4.5,1296984944,1,1994,Action,Crime,Drama,5587,4.06,0.81,34,588,356,377,745,20,1991,8.96,2.88,1.53,Drama,Romance,Comedy,Children,Action
296,6731,4.0,1145526162,1,1994,Comedy,Crime,Drama,14616,4.17,0.98,165,316,780,32,589,20,1993,1.69,4.65,0.46,Action,Thriller,Adventure,Sci-Fi,Comedy
3,27108,3.0,865275044,0,1995,Comedy,Romance,"",2769,3.15,0.99,780,648,736,"","",8,1995,0.52,3.25,1.39,Action,Adventure,Thriller,Romance,Mystery
300,14899,5.0,864503594,1,1994,Drama,"","",4445,3.68,0.82,594,364,595,105,593,31,1991,11.38,3.90,0.87,Drama,Thriller,Crime,Action,Adventure
300,21249,3.0,939465601,0,1994,Drama,"","",4445,3.68,0.82,926,946,909,778,953,24,1979,21.84,4.33,0.76,Drama,Comedy,Romance,Thriller,Crime
300,26005,3.0,831628661,0,1994,Drama,"","",4445,3.68,0.82,318,1,595,588,344,15,1993,1.91,3.47,1.06,Comedy,Drama,Adventure,Animation,Children
305,21331,3.0,836937575,0,1994,Comedy,"","",780,2.69,1.03,471,207,234,222,58,100,1993,5.82,4.44,0.87,Drama,Comedy,Romance,Action,Thriller
316,11888,3.0,845674383,0,1994,Action,Adventure,Sci-Fi,6915,3.35,0.94,231,595,588,593,344,13,1992,2.06,3.62,1.12,Comedy,Thriller,Adventure,Crime,Romance
316,6731,5.0,1145525932,1,1994,Action,Adventure,Sci-Fi,6915,3.35,0.94,780,32,589,500,588,18,1993,1.77,4.64,0.48,Thriller,Action,Adventure,Comedy,Sci-Fi
317,13865,3.0,846462623,0,1994,Comedy,Drama,Fantasy,3486,3.14,1.00,6,22,16,508,50,35,1993,1.59,3.49,0.61,Thriller,Crime,Drama,Action,Comedy
318,11722,5.0,1074385312,1,1994,Crime,Drama,"",13826,4.45,0.72,47,380,457,253,356,14,1993,1.22,3.93,0.58,Drama,Thriller,Adventure,Action,Comedy
318,2136,5.0,1073488560,1,1994,Crime,Drama,"",13826,4.45,0.72,593,527,222,"","",3,1993,2.00,4.83,0.29,Drama,Romance,War,Crime,Horror
318,7711,5.0,837091613,1,1994,Crime,Drama,"",13826,4.45,0.72,150,380,"","","",7,1992,2.34,3.14,1.21,Adventure,Action,Comedy,Romance,Thriller
329,24269,3.0,856817261,0,1994,Adventure,Drama,Sci-Fi,5727,3.33,0.97,594,750,265,509,457,65,1992,10.58,3.12,1.07,Drama,Comedy,Romance,Thriller,Crime
333,19338,4.0,843222594,1,1995,Comedy,"","",2284,3.34,1.09,454,539,350,440,480,37,1993,1.39,4.00,0.67,Comedy,Drama,Romance,Thriller,Action
339,25555,4.0,841924203,1,1995,Comedy,Romance,"",5030,3.52,0.92,356,329,161,292,588,12,1993,2.07,3.83,0.83,Drama,Adventure,Comedy,Sci-Fi,Thriller
34,20158,3.5,1155354319,1,1995,Children,Drama,"",7042,3.63,1.11,316,47,349,165,648,37,1992,7.26,3.69,0.87,Thriller,Action,Adventure,Crime,Drama
342,23459,5.0,947803255,1,1994,Comedy,"","",2568,3.52,1.02,492,635,838,933,892,100,1980,21.40,3.97,1.18,Drama,Comedy,Thriller,Romance,Mystery
345,28426,5.0,1021740737,1,1994,Comedy,Drama,"",2263,3.66,1.00,356,1,"","","",3,1994,1.00,4.00,1.00,Comedy,Adventure,Animation,Children,Fantasy
356,18634,4.5,1140929376,1,1994,Comedy,Drama,Romance,14426,4.03,0.95,73,314,549,534,838,39,1977,22.08,3.88,0.56,Drama,Romance,Comedy,Fantasy,War
360,18333,2.0,945582501,0,1994,Action,Comedy,"",482,2.74,0.92,378,339,587,367,586,20,1994,1.76,2.90,1.41,Comedy,Romance,Drama,Fantasy,War
373,2088,3.0,854967858,0,1992,Thriller,"","",770,3.77,0.81,34,21,300,748,260,33,1994,3.27,3.21,0.86,Drama,Thriller,Adventure,Comedy,Action
377,14838,4.0,849259186,1,1994,Action,Romance,Thriller,9053,3.49,0.94,231,356,595,165,588,16,1993,1.85,3.69,0.95,Comedy,Drama,Thriller,Adventure,Crime
380,21452,5.0,836225626,1,1994,Action,Adventure,Comedy,9364,3.48,0.93,150,590,592,"","",4,1992,2.94,4.00,0.82,Adventure,Drama,Action,Crime,Thriller
413,9993,2.0,1117225200,0,1994,Comedy,"","",1338,2.82,0.97,968,778,527,589,101,14,1985,16.81,4.18,0.70,Drama,Crime,Comedy,Thriller,War
468,27248,3.0,962878692,0,1995,Comedy,Romance,"",1564,3.31,0.89,215,35,534,509,302,100,1988,13.88,3.49,0.76,Drama,Comedy,Romance,Thriller,Crime
47,25969,5.0,1309040017,1,1995,Mystery,Thriller,"",9335,4.06,0.87,50,32,780,"","",6,1994,1.03,3.50,1.00,Thriller,Sci-Fi,Mystery,Action,Adventure
47,28675,4.0,1111584736,1,1995,Mystery,Thriller,"",9335,4.06,0.87,223,589,553,592,69,15,1992,5.97,3.73,0.86,Action,Crime,Thriller,Comedy,Drama
47,5925,1.5,1111478095,0,1995,Mystery,Thriller,"",9335,4.06,0.87,6,588,18,481,542,53,1992,7.87,3.31,1.31,Action,Thriller,Drama,Comedy,Adventure
472,21331,5.0,836938944,1,1994,Comedy,Drama,"",176,2.89,0.94,458,254,761,85,469,100,1993,3.07,4.23,0.89,Drama,Comedy,Romance,Thriller,Children
475,14204,4.0,837614841,1,1993,Drama,"","",1987,3.94,0.80,371,540,232,198,610,64,1993,2.05,3.56,1.13,Drama,Comedy,Thriller,Romance,Action
480,10436,4.5,1254724535,1,1993,Action,Adventure,Sci-Fi,13033,3.67,0.93,899,260,223,919,1,8,1980,22.77,4.50,0.38,Adventure,Children,Fantasy,Musical,Comedy
491,27248,3.0,963868325,0,1993,Drama,"","",1178,3.39,0.87,94,372,147,508,778,100,1989,14.51,3.38,0.75,Drama,Romance,Thriller,Action,Comedy
50,18947,4.5,1211529112,1,1995,Crime,Mystery,Thriller,10221,4.35,0.75,380,527,356,592,593,11,1993,1.85,4.23,1.29,Drama,Comedy,Crime,Thriller,Action
500,15555,4.0,900951104,1,1993,Comedy,Drama,"",7349,3.39,0.96,543,223,141,348,551,53,1993,7.87,4.02,0.64,Drama,Comedy,Thriller,Crime,Romance
500,23843,4.0,839631100,1,1993,Comedy,Drama,"",7349,3.39,0.96,50,377,589,364,300,38,1993,1.47,3.50,1.22,Thriller,Drama,Adventure,Action,Comedy
519,23459,1.0,946195648,0,1993,Action,Crime,Drama,1048,2.19,1.02,674,198,32,750,608,100,1981,21.06,3.92,1.17,Drama,Romance,Comedy,Thriller,Crime
520,21783,3.0,938850804,0,1993,Comedy,"","",3147,3.04,1.05,552,135,585,586,203,33,1994,1.70,3.55,0.71,Comedy,Drama,Romance,Fantasy,Action
521,27248,4.0,962837787,1,1993,Crime,Thriller,"",500,3.34,0.95,165,707,587,733,47,75,1986,16.34,3.64,0.71,Comedy,Drama,Thriller,Romance,Crime
527,11078,4.0,1286033640,1,1993,Drama,War,"",11017,4.30,0.83,922,628,47,50,608,17,1991,10.86,3.59,0.64,Thriller,Drama,Crime,Comedy,Mystery
527,29573,4.5,1109779626,1,1993,Drama,War,"",11017,4.30,0.83,50,608,589,110,592,12,1994,2.04,3.83,0.89,Action,Thriller,Crime,Comedy,Drama
534,21331,5.0,836938103,1,1993,Drama,Romance,"",1047,3.88,0.91,262,514,372,345,308,100,1993,6.46,4.32,0.98,Drama,Comedy,Romance,Action,Thriller
534,27248,4.0,962878279,1,1993,Drama,Romance,"",1047,3.88,0.91,509,302,25,293,17,100,1987,15.73,3.53,0.78,Drama,Comedy,Romance,Thriller,Crime
553,11888,4.0,845674984,1,1993,Action,Drama,Western,3208,3.68,0.92,350,266,160,39,539,69,1993,1.44,3.16,0.96,Comedy,Drama,Thriller,Action,Romance
575,4937,3.5,1067052569,1,1994,Children,Comedy,"",548,2.95,1.07,207,168,61,185,661,24,1990,15.65,3.33,1.04,Drama,Thriller,Crime,Comedy,Children
587,23318,4.0,1299123262,1,1990,Comedy,Drama,Fantasy,6405,3.43,1.00,593,480,150,590,589,7,1992,2.06,4.14,0.56,Drama,Action,Adventure,War,Sci-Fi
588,2294,4.0,835736414,1,1992,Adventure,Animation,Children,8980,3.67,0.92,349,380,150,296,"",8,1993,1.98,3.62,0.74,Drama,Thriller,Comedy,Crime,Adventure
590,19095,3.0,847645537,0,1990,Adventure,Drama,Western,9497,3.72,0.97,150,"","","","",3,1992,3.21,3.33,0.58,Adventure,Drama,IMAX,"",""
590,28135,5.0,850845927,1,1990,Adventure,Drama,Western,9497,3.72,0.97,593,111,342,589,300,21,1993,4.31,4.14,0.79,Drama,Comedy,Romance,Thriller,Adventure
593,26439,4.0,896883805,1,1991,Crime,Horror,Thriller,13692,4.18,0.85,541,750,457,497,110,15,1981,16.08,4.87,0.35,Drama,Thriller,Action,Comedy,War
595,21259,5.0,1083866147,1,1991,Animation,Children,Fantasy,7539,3.65,0.98,588,780,1,589,380,22,1988,13.65,4.48,0.79,Comedy,Action,Adventure,Thriller,Drama
596,23459,5.0,946072998,1,1940,Animation,Children,Fantasy,2765,3.53,0.99,969,940,923,858,260,100,1982,19.86,3.77,1.17,Drama,Romance,Thriller,Comedy,Crime
597,24269,3.0,856818791,0,1990,Comedy,Romance,"",7314,3.41,0.98,551,506,932,948,938,100,1982,19.17,3.48,0.66,Drama,Romance,Comedy,Fantasy,Children
608,9993,4.0,1117224583,1,1996,Comedy,Crime,Drama,9505,4.09,0.93,111,296,750,471,923,8,1981,20.13,3.94,0.82,Drama,Crime,Comedy,Thriller,Mystery
616,23843,5.0,839631765,1,1970,Animation,Children,"",1726,3.38,0.93,16,362,36,302,246,74,1993,6.76,3.69,1.11,Drama,Comedy,Thriller,Romance,Adventure
656,4937,2.0,1011392996,0,1996,Comedy,"","",256,2.88,1.08,"","","","","",2,1994,0.71,2.50,0.71,"","","","",""
692,20219,3.0,867630557,0,1996,Action,Sci-Fi,Thriller,203,2.41,1.16,996,782,725,63,694,100,1995,2.41,2.56,0.83,Comedy,Crime,Drama,Action,Thriller
724,5925,3.5,1111477345,1,1996,Drama,Fantasy,Horror,1894,3.03,0.99,110,208,10,25,161,44,1992,8.60,3.33,1.30,Action,Thriller,Drama,Adventure,Comedy
733,24269,4.0,856815253,1,1996,Action,Adventure,Thriller,6837,3.65,0.92,36,17,"","","",10,1995,0.48,2.80,0.92,Drama,Romance,Crime,"",""
745,6194,4.5,1129563008,1,1995,Animation,Children,Comedy,2625,4.16,0.91,1,236,186,"","",5,1984,24.71,3.80,0.76,Comedy,Romance,Action,Adventure,Animation
780,12529,3.0,1164593287,0,1996,Action,Adventure,Sci-Fi,10271,3.37,1.06,356,858,318,902,"",5,1983,15.93,3.60,0.74,Drama,Romance,Crime,Comedy,War
780,3606,4.0,1129822457,1,1996,Action,Adventure,Sci-Fi,10271,3.37,1.06,589,1,260,110,318,18,1989,13.08,4.08,0.83,Drama,Action,Thriller,Crime,Adventure
783,3210,3.0,1119906738,0,1996,Animation,Children,Drama,2215,3.25,1.09,709,594,595,364,588,79,1988,15.03,3.67,0.75,Action,Adventure,Thriller,Comedy,Drama
784,21783,4.0,938852487,1,1996,Comedy,Thriller,"",3116,2.70,1.05,833,518,478,330,305,70,1994,1.38,3.30,0.86,Comedy,Drama,Romance,Fantasy,Action
785,17401,3.0,942799713,0,1996,Comedy,"","",2284,3.27,1.03,380,70,288,480,454,30,1994,1.21,3.53,0.68,Comedy,Thriller,Drama,Romance,Action
788,18333,1.0,945581770,0,1996,Comedy,Fantasy,Romance,4208,2.87,1.08,587,367,586,500,356,11,1993,2.02,3.55,1.29,Comedy,Drama,Romance,Fantasy,War
830,675,3.0,866215254,0,1996,Comedy,"","",1484,3.05,1.07,858,628,708,6,25,25,1993,5.91,3.16,0.80,Drama,Thriller,Crime,Mystery,Romance
858,1436,4.0,847380868,1,1972,Crime,Drama,"",8996,4.35,0.86,70,541,750,39,866,96,1988,15.69,3.35,0.92,Comedy,Drama,Thriller,Romance,Crime
892,23459,4.0,947803190,1,1996,Comedy,Drama,Romance,292,3.71,0.98,471,934,235,837,527,100,1980,21.36,3.93,1.20,Drama,Comedy,Romance,Thriller,Crime
902,18634,3.0,1140927701,0,1961,Drama,Romance,"",2112,3.85,0.92,515,475,949,971,924,25,1971,23.10,3.88,0.60,Drama,Romance,Comedy,Adventure,War
912,28334,5.0,974691621,1,1942,Drama,Romance,"",5256,4.27,0.85,858,19,924,"","",3,1978,14.57,4.67,0.58,Drama,Adventure,Sci-Fi,Comedy,Crime
915,23459,5.0,947803298,1,1954,Comedy,Romance,"",1155,3.88,0.89,205,342,492,635,838,100,1980,21.40,3.96,1.20,Drama,Comedy,Thriller,Romance,Mystery
955,23843,5.0,864046575,1,1938,Comedy,Romance,"",1004,4.07,0.91,933,965,915,101,898,100,1986,18.45,3.73,0.78,Drama,Romance,Comedy,Thriller,Adventure
969,23459,4.0,946072961,1,1951,Adventure,Comedy,Romance,2380,4.11,0.86,940,923,858,260,457,100,1983,19.63,3.76,1.17,Drama,Romance,Thriller,Comedy,Crime
11,28039,3.5,1274493089,1,1995,Comedy,Drama,Romance,3846,3.69,0.88,919,1,588,39,745,11,1986,18.32,4.23,0.98,Comedy,Adventure,Children,Romance,Animation
110,25350,1.5,1133748096,0,1995,Action,Drama,War,11637,4.04,0.97,923,296,"","","",10,1973,27.74,2.10,1.13,Drama,Comedy,Crime,Thriller,Mystery
110,9032,3.0,934433108,0,1995,Action,Drama,War,11637,4.04,0.97,29,50,593,296,527,62,1989,13.13,3.71,0.88,Comedy,Crime,Drama,Action,Thriller
135,6366,3.0,995737876,0,1996,Comedy,"","",1390,3.00,1.06,57,999,597,425,222,100,1992,10.36,3.07,1.07,Thriller,Drama,Action,Romance,Crime
150,10272,4.0,1165434478,1,1995,Adventure,Drama,IMAX,10324,3.86,0.86,153,608,364,592,780,25,1983,18.43,4.24,0.41,Thriller,Crime,Drama,Action,Sci-Fi
150,3368,4.5,1196114037,1,1995,Adventure,Drama,IMAX,10324,3.86,0.86,480,356,223,170,250,6,1994,0.82,4.00,0.63,Comedy,Action,Adventure,Thriller,Children
150,3858,2.5,1266795965,0,1995,Adventure,Drama,IMAX,10324,3.86,0.86,152,924,32,899,596,12,1984,19.55,2.29,1.80,Musical,Sci-Fi,Drama,Animation,Children
150,9308,5.0,833078246,1,1995,Adventure,Drama,IMAX,10324,3.86,0.86,592,296,"","","",2,1991,3.54,4.50,0.71,Crime,Thriller,Comedy,Drama,Action
153,22314,3.0,857458401,0,1995,Action,Adventure,Comedy,7100,2.89,0.95,70,377,204,552,380,42,1994,3.10,3.45,0.67,Action,Thriller,Adventure,Crime,Comedy
165,1372,5.0,957844576,1,1995,Action,Crime,Thriller,7392,3.50,0.89,648,145,316,780,292,38,1992,4.73,4.37,0.82,Thriller,Action,Crime,Drama,Comedy
170,27125,3.0,848340990,0,1995,Action,Adventure,Crime,1651,3.20,1.02,257,303,596,280,163,96,1992,8.07,3.54,0.86,Thriller,Action,Drama,Comedy,Crime
185,10338,1.0,925132286,0,1995,Action,Crime,Thriller,5344,3.11,0.96,924,750,32,544,89,76,1990,11.73,3.45,1.32,Action,Thriller,Adventure,Sci-Fi,Drama
21,28524,3.0,842353159,0,1995,Comedy,Crime,Thriller,5164,3.58,0.93,589,377,339,480,356,13,1993,1.64,4.00,0.82,Thriller,Adventure,Drama,Romance,Action
21,3858,2.5,1266797810,0,1995,Comedy,Crime,Thriller,5164,3.58,0.93,454,253,47,527,1,52,1985,16.47,2.85,1.46,Drama,Thriller,Comedy,Mystery,Crime
223,18429,5.0,1112679403,1,1994,Comedy,"","",5102,3.86,0.97,786,145,163,208,161,39,1992,9.27,3.55,0.79,Action,Thriller,Adventure,Drama,Comedy
231,3858,2.0,1266797647,0,1994,Adventure,Comedy,"",7051,2.93,1.21,47,527,1,260,356,44,1984,17.58,2.98,1.49,Drama,Thriller,Comedy,Mystery,Crime
232,27130,4.0,1365007733,1,1994,Comedy,Drama,Romance,1373,4.03,0.85,903,296,497,750,"",7,1984,16.11,3.29,1.15,Comedy,Romance,Drama,Thriller,War
242,28449,4.0,965348476,1,1994,Drama,Musical,"",246,3.41,1.01,235,32,593,482,176,14,1990,13.95,4.21,0.80,Drama,Thriller,Crime,Comedy,Mystery
246,12637,4.5,1083776154,1,1994,Documentary,"","",2288,4.06,0.95,923,555,508,356,296,10,1988,16.87,4.05,0.90,Comedy,Drama,Romance,Crime,Thriller
25,3441,4.0,939901852,1,1995,Drama,Romance,"",4684,3.69,1.04,17,912,28,588,745,13,1989,14.46,4.54,0.52,Drama,Thriller,Romance,Crime,Adventure
257,27125,4.0,848340979,1,1995,Mystery,Thriller,"",814,3.42,0.88,303,596,280,163,608,95,1992,8.11,3.54,0.86,Thriller,Action,Drama,Comedy,Crime
265,853,4.0,856444137,1,1992,Drama,Fantasy,Romance,2622,3.89,0.98,306,593,314,930,920,98,1986,16.73,3.67,0.96,Comedy,Drama,Romance,Thriller,Mystery
288,6366,4.0,989895428,1,1994,Action,Crime,Thriller,5165,3.24,1.18,292,780,423,353,507,100,1990,11.44,3.62,1.08,Thriller,Drama,Comedy,Action,Romance
290,17866,4.0,832023703,1,1994,Crime,Drama,"",888,4.02,0.87,178,247,14,471,45,44,1994,1.27,3.36,1.33,Drama,Comedy,Crime,Thriller,Adventure
296,16639,4.0,983467855,1,1994,Comedy,Crime,Drama,14616,4.17,0.98,750,32,260,541,95,12,1989,10.01,4.00,1.13,Action,Sci-Fi,Thriller,Adventure,War
296,27890,5.0,980983543,1,1994,Comedy,Crime,Drama,14616,4.17,0.98,318,260,50,750,47,9,1986,12.23,4.11,1.17,Crime,Drama,Mystery,Thriller,Comedy
3,15052,3.0,862122663,0,1995,Comedy,Romance,"",2769,3.15,0.99,36,25,17,62,648,11,1995,0.52,3.82,0.87,Drama,Adventure,Thriller,Action,Sci-Fi
318,15539,5.0,938659177,1,1994,Crime,Drama,"",13826,4.45,0.72,912,908,953,800,858,7,1963,18.02,4.29,0.76,Drama,Romance,Mystery,Crime,Western
319,9308,3.0,833078889,0,1994,Comedy,Drama,Thriller,1592,3.78,0.88,36,555,364,293,95,46,1994,1.33,3.24,1.14,Thriller,Crime,Drama,Action,Adventure
33,26222,3.0,1188106146,0,1995,Adventure,Romance,IMAX,18,3.03,0.93,111,589,50,377,480,12,1989,10.39,3.92,0.73,Thriller,Crime,Action,Mystery,Drama
332,9032,2.5,1059234531,0,1995,Horror,Sci-Fi,"",474,2.71,1.04,367,485,778,16,223,11,1989,10.69,3.45,0.82,Comedy,Crime,Action,Thriller,Sci-Fi
344,19289,2.5,1189484489,0,1994,Comedy,"","",8273,2.98,1.11,50,588,590,356,296,18,1993,2.06,3.11,0.93,Drama,Thriller,Crime,Comedy,War
356,5613,4.5,1055266761,1,1994,Comedy,Drama,Romance,14426,4.03,0.95,555,616,595,588,364,28,1989,12.54,3.39,1.01,Thriller,Action,Adventure,Drama,Crime
36,17866,4.0,832023018,1,1995,Crime,Drama,"",4547,3.94,0.90,162,306,593,720,745,27,1994,1.43,3.33,1.41,Thriller,Comedy,Crime,Drama,Adventure
36,4975,4.0,844268099,1,1995,Crime,Drama,"",4547,3.94,0.90,246,162,586,585,551,58,1993,1.46,4.09,0.86,Comedy,Thriller,Drama,Action,Crime
370,1669,3.0,1109342323,0,1994,Action,Comedy,"",3087,2.96,1.05,163,466,"","","",2,1994,1.41,3.75,0.35,Action,Comedy,War,Romance,Western
415,27125,3.0,848341066,0,1993,Comedy,Thriller,"",720,2.82,0.90,104,257,303,596,280,100,1993,7.91,3.47,0.85,Action,Thriller,Drama,Comedy,Adventure
455,29097,3.0,978046465,0,1993,Adventure,Children,Drama,1800,2.62,1.03,586,588,364,1,47,42,1993,5.37,3.40,0.89,Romance,Comedy,Drama,Children,Thriller
455,5613,2.5,1162803258,0,1993,Adventure,Children,Drama,1800,2.62,1.03,996,308,307,485,163,74,1991,9.54,3.26,0.95,Drama,Thriller,Action,Adventure,Comedy
468,10309,4.0,976815168,1,1995,Comedy,Romance,"",1564,3.31,0.89,597,733,141,356,590,27,1991,10.09,4.07,0.47,Drama,Thriller,Comedy,Crime,Adventure
480,22130,4.0,1232483969,1,1993,Action,Adventure,Sci-Fi,13033,3.67,0.93,370,173,160,317,104,31,1994,1.42,4.00,0.88,Drama,Comedy,Action,Sci-Fi,Adventure
480,9308,3.0,833079258,0,1993,Action,Adventure,Sci-Fi,13033,3.67,0.93,36,555,364,293,95,52,1994,1.29,3.17,1.12,Thriller,Crime,Drama,Action,Adventure
491,26687,1.0,1173173154,0,1993,Drama,"","",1178,3.39,0.87,"","","","","",6,1995,0.75,1.00,0.63,"","","","",""
491,9630,5.0,835681513,1,1993,Drama,"","",1178,3.39,0.87,370,257,477,508,736,64,1993,1.55,3.64,1.07,Thriller,Action,Drama,Comedy,Romance
50,27752,5.0,1290345613,1,1995,Crime,Mystery,Thriller,10221,4.35,0.75,380,377,260,296,527,25,1991,8.57,3.48,0.97,Drama,Comedy,Thriller,Crime,Romance
527,16639,5.0,983468679,1,1993,Drama,War,"",11017,4.30,0.83,912,50,858,296,750,16,1986,15.33,4.12,1.02,Thriller,Action,Drama,Sci-Fi,Adventure
527,22436,5.0,1327266031,1,1993,Drama,War,"",11017,4.30,0.83,318,480,20,"","",5,1986,17.01,3.80,1.04,Action,Crime,Drama,Thriller,Comedy
539,3650,2.5,1360830378,0,1993,Comedy,Drama,Romance,6177,3.50,0.97,648,838,17,497,918,15,1987,14.82,3.00,1.25,Romance,Comedy,Drama,Musical,Action
540,3858,1.0,1266809259,0,1993,Thriller,"","",1094,2.75,0.94,538,535,799,319,14,90,1988,14.45,2.86,1.38,Drama,Thriller,Comedy,Crime,Mystery
544,10338,4.0,925131592,1,1993,Action,Crime,"",482,2.94,0.85,89,552,165,494,168,52,1990,12.71,3.98,1.04,Action,Thriller,Adventure,Drama,Sci-Fi
